indice,text,repostCount,replyCount,link,image,createdAt,depressive
2610,It's beyond kind of you to find the words for it. I can't think of anything more I wanna do w whatever time I have left than this. In the very literal I lost the closest person on earth to me so all I can do is be ready to live or die for his kids for any possible reason,0,1,0,0,2025-01-26T23:20:25.823Z,0
1923,"Existential Crisis Rabbit is here ❤️‍🩹

An existential crisis is a period of inner turmoil when someone questions the meaning of their life and their identity. It can involve feelings of anxiety, confusion, and stress.

Available on the Plushie Dreadfuls store ⭐ buff.ly/43ebGGE",4,0,0,0,2025-02-28T14:02:00.089Z,0
1491,"Idk but it irks me when some people have this ""TRUEEEEE FANS LOVE EVERYTHING A BAND DOES FOREVER & EVER"" mindset

yeahhhh no...

no one needs to be a *true* fan of anything, just enjoy what you like & respect others' opinions & if bands make something you don't care for do not send hate to them ok ✌",0,3,0,0,2025-02-28T18:45:15.005Z,0
1846,"I can deal with people arguing in reasonable good faith against things I did say, and do believe, though if no one’s changing their mind I’ll eventually be like “okay either we need to agree to disagree or go our separate ways.” If anything, maybe I’m too ready to see arguing as “friendly!”",0,1,0,0,2024-08-18T14:15:31.096Z,0
1723,I hate how much people care about how much pokemon cards cost. I hate scalpers. I hate people who ruin everything for everyone because it *might* make them some money. I just want to collect the cards I like look nice and I just cause bc of assholes,0,0,0,0,2025-01-11T15:05:18.178Z,0
2168,"Considering the company has a history of experimenting with people they think/know have clinical depression and suicidal thoughts, it's not a stretch to believe this is not a mistake:",0,0,1,0,2025-02-28T18:56:20.003Z,0
2568,"Hey mutuals, if you see me disappear for a couple weeks, the most likely reason is that I got sent to a mental hospital.

I'm starting to notice that I'm turning into more of a monster. My outbursts and suicidal thoughts have been more common and I'm running out of friends

Thanks for understanding.",0,0,0,0,2024-01-31T00:47:56.819Z,1
1937,"2020 - 2025

Overcame depression and batted away suicidal thoughts.

Lost 7 stone.

Grown a beard.

🫂",0,0,0,0,2025-02-16T00:06:07.358Z,0
89,"Just got a message from someone on linkedin congratulating me for 5 years of working at a company i havent worked at in 5 years lmao (for those who dont know the lore, I was having serious suicidal thoughts while working there 🙂)",0,2,0,0,2024-12-11T21:04:21.876Z,0
2464,"My depression and anxiety were the most problematic symptoms of my ADHD for many years, and once I got the ADHD diagnosed I started noticing places where my experience was more in line with autism. Also, bipolar is in my family tree, so I wonder about genetic links.",0,1,0,0,2024-07-11T19:26:55.334Z,0
1800,"Mental Health is in the dumpster, currently burning. I'll be okay eventually, but right now I'm not in a good place at all. And even with insurance, I can't afford to do anything about it, because I'm unemployed and my unemployment hasn't hit yet.

I'm just tired.",0,0,0,0,2022-05-21T04:17:19.000Z,1
716,"trying to even find the motivation to do anything, despite everything, is actually driving me to want to do shit that clearly won't work. It feels like I was never meant to succeed in life, and was only meant to be tortured by my own thoughts.

I just want it all to stop. I want it all off my mind.",0,0,0,0,2024-11-18T14:10:20.632Z,1
1538,"My Champs, let me tell you about them! (Sorry no screens right now, post from work)
Maxx Rezz: an AI construct based on late 80's gamer stuff like Captain N, Video Power and Nick Arcade. Uses a familiar looking light gun, light bazooka and one-handed wearable tech glove. Needs a snazzier hairstyle!",0,1,0,0,2024-11-30T15:14:12.851Z,0
2503,The way that teenage me kept myself from engaging with my suicidal thoughts by hyperfocusing on video games is truly something that is both really great (since I'm still standing) but also really sad that video games saved me rather than my loved ones.,0,0,0,0,2024-11-23T13:37:39.609Z,0
594,Goku and Vegeta finally found somewhere empty to fight,11,0,0,0,2025-02-28T21:22:47.664Z,0
3076,"When I said 'I wanna die by P*ssy overload""
..this is NOT what I was talking about, PPL!..damnit!",0,0,0,0,2025-02-07T12:41:04.344Z,0
1986,"Missed that one; probably would have gone with it if I'd know it was an option.

Mind you, wife & her BFF got to watch the AllBlacks v Fiji so I think it'll work out okay in the long run.",0,0,0,0,2024-07-21T10:22:28.064Z,0
1879,"I'll get back to smut eventually, but right now I'm still in the mood for drawing parodies.",1,2,0,1,2024-11-21T17:14:09.264Z,0
669,Not even been back to work a week and I wish I was dead again 🫠 normal,0,0,0,0,2024-04-03T09:11:08.293Z,1
589,"went to tumblr and saw this ""Yeah, people who struggle with trauma and complex abuse don't tend to actually realise that themselves. It's just normal for them"" while speaking abt Sorawo. 
I hate how true that is now that x time ago i have realized that about myself. Well i still try to deny it a bit",0,0,0,0,2024-12-01T10:00:52.478Z,0
2525,"TW Suicide:

As someone who has struggled with suicidal thoughts throughout my life, I get it. Today is rough as hell for everyone's mental health. I won't lie, I've had those thoughts in the past 24hrs but I'm not useful in the fight to get our rights back if I'm dead

Take care of yourself please.",0,1,0,0,2024-11-06T14:06:55.337Z,1
2149,I cannot think of anything that would be less likely to keep suicidal thoughts at bay than being forced into a camp to grow vegetables.,0,1,0,0,2024-11-15T02:12:39.974Z,0
2447,"I just abruptly stopped my psychiatric medication for the past day just to feel some pain — suicidal thoughts. 

I know that it's dangerous to stop them abruptly, but I just realized I won't be able to work the next day because of insomnia. So I take them now again. Hahahaha.",0,1,0,0,2024-11-19T12:15:44.562Z,1
2218,"psst since this is doing some numbers, if you wanna fill out a Best of 2024 list, look no further:
docs.google.com/forms/d/e/1F...",0,0,1,0,2024-12-21T04:17:24.987Z,0
1392,"Doing first of the month things at just past midnight and realizing I'm not getting a Steam payment this month because the amount that would come in is $99, literally 1 dollar short for them to send lol

Anyway yeah, definitely putting some games on sale this month to cover living expenses",0,0,0,0,2023-10-01T07:41:51.831Z,0
1946,"When that Logic song came out a few years ago, the “1-800” something song, about kids (or whomever) with suicidal thoughts, all I heard was “Teenage Suicide (Don’t Do It)”",0,0,0,0,2024-07-14T14:01:24.356Z,0
185,"i hate my life and i wanna die
i ain't got no iphone",0,0,0,0,2024-11-07T09:17:06.063Z,1
1971,If I was a Skull Lord I probably would have gone with a more intimidating typeface.,2,1,0,1,2025-02-17T22:04:01.624Z,0
2853,I’ve noticed a significant increase of smokers around Seattle. Do we all just wanna look cooler or do we all just wanna die sooner ?? Same thing kinda 🚬,0,1,0,0,2025-02-04T21:23:56.850Z,0
25,"AASUF77 I NEED NEW PC HEADPHONES FUCK I DON'T WANT TO SPEND MORE MONEY I JUST BUY A FUCK DUALSHOCK SSA8UWIE
SS I'M GONNA KMS",0,0,0,0,2023-11-18T05:45:55.000Z,0
1732,"According to Pierre Poilievre, our economy is on the brink of collapse and Trudeau has destroyed absolutely everything that used to be good about Canada. We are a country in ruin. 
I cannot take this guy seriously. #cdnpoli #cdnmedia",8,3,0,0,2024-11-26T16:51:13.355Z,0
2423,"We spend our whole lives being diagnosed with mental health disorders from depression to anxiety to BPD. Only now is understanding being sought and gained about how Autism, ADHD and AuDHD presents in women. I'm 64 and have only just been diagnosed during more treatment for depression and anxiety.",0,0,0,0,2024-11-21T08:17:10.224Z,0
1659,"Lol nothing. Just old stuff resurfacing after a training at work made me realize that legally my dad not giving me access to resources to help with my ADHD, self harming, suicidal thoughts and depression was actually Neglect. One of those moments where I knew that...but now I Know that.",0,1,0,0,2024-12-16T05:29:36.816Z,0
3239,Lfg we finally have the cold winds of winter. No more stupid heat that makes you wanna die 🎉,0,2,0,0,2024-11-01T00:40:19.695Z,0
1686,what’s crazy is i knew from the second they dropped the amphoreus cast that anaxa would ruin my life he was the only one that had caught my attention back then oh this is the worst timeline i hate everything,0,1,0,0,2025-02-25T12:58:49.889Z,0
2643,"This could be us but waaah you ""don't wanna die!"" Smfh

#vore 

Art by Emeraldfur_ on twitter 🩷",4,5,0,0,2024-11-10T22:58:34.470Z,0
2695,"Cw: Suicidal Thoughts

Prefacing this by saying I'm okay, just thought about this while driving.

Not even a few months ago I'd always assumed that suicidal thoughts were limited to those intense bouts of despondancy.  Where you're not in your right mind and close to making an attempt.",0,1,0,0,2025-02-19T17:39:21.012Z,0
3011,"So what do you call this?
Lmao

Because I said I won't be helping you and this is the hill you die on?

I don't owe you shit. You can weaponize our plight, but expect me to overlook the same plight because you wanna be one of the good ones?",0,0,0,0,2025-01-23T15:28:13.786Z,0
2323,"I struggle with suicidal ideation and thoughts every day.

But it's not just the trauma I've been through. I feel like both my spouse and I have no chance at a future. Or life. 

I really want a future. I can't stop feeling this way. I hate it.",1,0,0,0,2024-08-07T00:06:55.557Z,0
385,They still do it which is why I limit my interaction with them because it's exhausting to be around and I refuse to believe in something that hates me for just living my life as me. I do my best to be kind because I know how much hurt that hate causes. We can do and be better.,1,1,0,0,2023-09-15T01:12:13.124Z,0
1782,"I’ll be teaching composition until I die now, so it would be super cool if this did not resurface for long because my current view is far more nuanced",0,1,0,0,2024-12-29T00:33:13.282Z,0
2152,"8. Favorite OC Ship

So, I ship my own OCs among each other so hard. None of it's canon, exactly, but..... One of my favorites is Kai x Leon .

Kai is an extremely troubled and paranoid person, the only person he trusts fully is Leon. Leon values this trust extremely deeply. Do you see the vision?",0,2,0,1,2024-11-04T00:09:28.261Z,0
3336,"What ever the comment was.. wanna make Scotland independent? How can i help? I'm indigenous to this land. I'm willing to die for it. How about you, Dr?❤️❤️❤️",0,1,0,0,2025-01-19T08:10:25.709Z,0
1027,"It kinda feels numb to call this a ""mass exodus"" because, well, how many of those has Twitter had since Elon bought it?

Still, it's lookin' a LOT more lively over here after the lastest one. I'm pretty happy to see that!",0,0,0,0,2024-10-21T23:21:01.288Z,0
2135,"The Same Kind of Bad As Me 
🦩🐊
#OnePiece
#Dofuwani
Explicit: 15k

After his defeat on Dressrosa, Doflamingo woke up in an off books prison bored, thirsty, & bone tired

Weird surprise, but at least things were about to get more interesting

#Doflamingo #Crocodile

archiveofourown.org/works/60924544",1,0,0,1,2024-12-01T23:42:11.001Z,0
1978,"My Nana Jeopardy! (Series, 1956 - )",7,1,0,1,2025-01-08T03:24:22.446Z,0
2649,"Yeah screw ""canon."" I met movie people that live and die by this POV and its all subjective and really life's too short I just watch what I feel like mostly. Not to say there isn't classics I wanna dive into like from Ozu, but my priorities lie elsewhere. This ain't an assigment i gotta hit goals.",0,0,0,0,2024-05-09T03:01:00.262Z,0
925,"If I won't post, I'll literally die. The only reason I'm on social media is to avoid going insane and dying and I'm looking for place where I won't feel like a stranger. Real life is not safe for me for a long time. I live from online life to survive.
But I realize it's pointless,",0,1,0,0,2024-12-01T09:39:59.586Z,0
1638,i think it would be a net positive on the world if i killed myself but i wont because i am not a good person which is why it would be a good thing if i did,0,0,0,0,2023-12-09T13:14:24.582Z,0
2332,My mom said something that ik she didn't mean to hurt my feelings but now I'm getting urges to sh and suicidal thoughts a lot more now and it feels like I can't trust her,0,0,0,0,2024-10-24T01:47:21.572Z,1
220,"The #HazbinHotel community right now is like : ""I've only had Abel for a day and a half, but if anything happened to him, I would kill everyone in this room and then myself.""
And honestly, I'm not disappointed 🤣🤣🤣",0,0,0,0,2024-12-25T23:48:01.933Z,0
2845,"Wegovy, Ozempic not linked to increase in suicidal thoughts, US study finds www.reuters.com/business/hea...",0,0,1,0,2024-01-05T11:56:26.575Z,0
2499,"I spoke with @SFreedenthal about her new book, ""Loving Someone With Suicidal Thoughts"" for Episode 132. As always, Stacey brings deep insight and no BS to her work. We talk about creating support teams, feeling manipulated, and more. New transcript! ...",0,1,0,0,2023-09-23T15:15:05Z,0
1302,"“The danger/ of memory is going/ to it for respite…Maybe it felt better then, but you were/ not better. You were smaller, as the rain/ gauge must fill to the brim/ with its full portion of suffering./ What can memory be in these terrible times?/ 
Only instruction. Not a dwelling.”",7,2,0,1,2025-02-28T10:27:56.963Z,0
2677,"I don’t know if it’s generational or environmental or just taboo, but I do think a lot more people have frequent suicidal thoughts more than they want to admit.

Maybe not daily, but the amount of people who claim they’ve never had them makes me suspect honestly",0,1,0,0,2024-12-03T04:09:59.176Z,0
2402,"Both words have lost all meaning IMO. I have not been diagnosed as on the spectrum, (never been tested), but I have diagnosed depression, anxiety and a personality disorder. For some, that still doesn’t count as neurodivergent. 

Honestly I think most everyone’s head is fucked and why gatekeep",0,1,0,0,2024-06-11T17:40:43.425Z,0
1648,taking the substance at 27 and it causes me to play 16 hours of league of legends and have suicidal thoughts,0,0,0,0,2024-12-31T19:50:38.843Z,1
129,The perfect way that I wanna die😵‍💫,0,0,0,0,2024-11-03T09:28:58.803Z,0
1114,"I feel that way with my business often and I can tell you it’s a really empty feeling. Really bad my guys. Kind of combo of  imposter syndrome , self loathing and feeling unworthy of social interaction. Awful awful feeling. Inside and outwardly.",0,0,0,0,2024-12-16T10:28:15.630Z,1
2681,"I have seen fans who didn't know him at all say the news has triggered suicidal thoughts, and yet people apparently cannot fathom that people who *did* know him might be struggling?",0,1,0,0,2024-08-13T22:14:53.963Z,0
522,"Someone just told me to keep my headcanons to myself.

Bruh….

All I did was headcanon a character as AroAce and they took it as shitting on their ship 💀

God I hate the CookieRun fandom",0,2,0,0,2025-02-28T23:42:33.618Z,0
2151,Lowkey thinking of getting myself done as an incubus from Hazbin/Helluva Boss. Really been toying with the idea for a while now.,0,0,0,0,2024-06-23T15:11:02.560Z,0
1383,"Hi,I'm Ahmed from Gaza.I have an evacuation campaign to evacuate me and my family to a safe place.I hope you can help me by sharing my link or donating any contribution.It will ease the burden I carry on my life and the life of my family. The link is in the bio.Thank you from the bottom of my heart🙏🏻",0,0,0,0,2025-02-26T19:49:12.643Z,0
1251,Part two!,0,1,0,1,2025-02-14T17:16:04.709Z,0
3070,"I wanna rob banks in PAYDAY 3... 

I wanna do crimes with people...

born to die
world is a fuck
kill em all 1989
i am trash person
410,757,864,530 dead cops

LET ME IIIIN",0,1,0,0,2023-09-17T17:58:12.078Z,0
2102,"Different in a good way! I’m loving it so far!
Especially bc it has the actors for Ben from parks and rec and Adrian Pimento and Kevin from B99
And then the cast for the four main characters are so well done
I lowkey LOVE Jason’s character/actor, funny as hell😂😂",0,0,0,0,2025-01-17T16:30:59.404Z,0
379,my former chef is very active in threads and i hate to be away from the drama in the local restaurant life!! and i don’t want to make an account there 😭,0,0,0,0,2025-01-27T22:24:39.812Z,0
2097,"Part of me is terrified, and part of me is going into that spot I was 2020, 2021 where I start thinking some frightening thoughts on how to deal with the problem. And they ain't suicidal thoughts, either =/",0,1,0,0,2025-02-07T03:20:54.792Z,0
778,"I'm so overwhelmed with everything going on this week from elections to midterms to my hours randomly being cut again. I feel so numb. I want to just sink into the ground and stop bothering everyone. I feel like a burden, like I'm not capable of being anything but.",0,1,0,0,2024-11-05T03:29:21.725Z,0
2127,bc who's gonna stop me from lowkey projecting onto phoenix's bf (as if i haven't done that with literally all my ocs but sh),0,0,0,0,2025-01-27T20:32:53.621Z,0
3078,just had a weird ass near death experience as a dream and now I don't wanna die and nothing's telling me to either :P that's probably not gonna last forever as I forget about the nightmare but damn free mental healthcare?? and all I gotta do is sleep from 1am to 12pm???,0,2,0,0,2025-01-06T17:06:05.787Z,0
921,"I’ve seen the best comment from a French person: “now I understand why US doesn’t require gun license, because it really takes a lot to trigger Americans”. If it was France people would have gone with massive job walkouts and street protests.",8,2,0,0,2025-02-17T13:05:48.648Z,0
1276,"Im.not trying to be a jerk but I've seen these ""hypotheticals"" become reality in cases of former partners going after a woman who had and aided with an abortion. The hospitals have seen such cases too and Alabama is a hostile legislative/judicial environment. I hate all this but understand why.",0,1,0,0,2024-02-24T01:18:01.881Z,0
2430," after finding out that he was Cheating. In addition, Livelsberger had been seen by Military Behavioral Health several times in 2024, where he was diagnosed with Depression, but at the time was not determined to be at Risk of Suicide or Self-Harm.",0,0,0,0,2025-01-04T07:46:25.267Z,0
1421,"she watched as he took in the city , it was clear that he wanted to memorize every detail . with how happy the view seemed to make him , there was no way she could rob him of seeing it again .

“i am not going to disappear after tonight . if you wish to come back , i will bring you .” +",0,1,0,0,2025-02-25T02:42:42.540Z,0
1525,"As a multicummer I always feel like it’s my duty to be the first to breed the community hole. Sperm does make the best lube after all, and I’m nothing if not a team player 😈🐷 w/ @rascal9712.bsky.social and @jackveinsx.bsky.social",32,2,0,0,2025-02-21T20:29:28.741Z,0
1880,"TW.
.
.
.
.
.

Lol at GP notes. Says no suicidal thoughts even though I told her I can't go through this again and want to top myself before it gets to that stage",0,1,0,0,2025-02-28T09:41:02.468Z,0
2475,"Man, that sounds awful ... I was initially diagnosed with social anxiety disorder/depression and prescribed an SSRI. After a few weeks I was in a full blown hypomanic state which was *not fun* (I get a lot of mixed episodes)... They realized it was bipolar disorder and got me on the right meds...",0,2,0,0,2025-02-17T11:12:11.090Z,0
1478,"I love working in research, but sometimes research doesn't love me back

Just got home after almost 11 hours, imma bout to kms",0,3,0,0,2024-10-21T17:05:49.119Z,0
2258,For the record: I think Boeing makes a damn fine aircraft and also I am not suicidal.,0,1,1,1,2024-03-11T21:34:46.338Z,0
932,"Yves Simon, the Catholic anti-fascist philosopher wrote this about G-L:",9,1,0,1,2025-01-31T13:19:40.431Z,0
